Source,Target,Type,Kind,Id,Label,Weight,Dénominations
11483,11368,Undirected,,179,,1,
11138,11368,Undirected,,180,,1,
12810,10755,Undirected,,181,,1,
11807,11681,Undirected,,182,,1,
11807,11928,Undirected,,183,,1,
11810,11552,Undirected,,184,,1,
11778,11356,Undirected,,185,,1,
11778,10329,Undirected,,186,,1,
11800,11983,Undirected,,187,,1,
11800,12212,Undirected,Famille,188,,1,
11809,11339,Undirected,,189,,1,
11809,11350,Undirected,,190,,1,
11817,11266,Undirected,Famille,191,,1,
11814,10707,Undirected,,192,,1,
11814,11589,Undirected,,193,,1,
11814,13239,Undirected,,194,,1,
11827,12191,Undirected,,195,,1,
11827,11921,Undirected,,196,,1,
11827,10368,Undirected,,197,,1,
11827,12969,Undirected,,198,,1,
11827,11692,Undirected,,199,,1,
11827,11372,Undirected,,200,,1,
11835,13778,Undirected,,201,,1,
11835,10866,Undirected,,202,,1,
11835,13780,Undirected,,203,,1,
11826,12969,Undirected,,204,,1,
11826,13083,Undirected,,205,,1,
11794,10326,Undirected,,206,,1,
11794,11372,Undirected,,207,,1,
11794,13781,Undirected,,208,,1,
11806,11540,Undirected,,209,,1,
11806,11706,Undirected,,210,,1,
11997,11706,Undirected,,211,,1,
10501,11706,Undirected,,212,,1,
10627,11706,Undirected,,213,,1,
11378,11706,Undirected,,214,,1,
11378,13765,Undirected,,215,,1,
11378,11926,Undirected,,216,,1,
11379,10948,Undirected,,217,,1,
11379,13032,Undirected,,218,,1,
11380,13782,Undirected,Associé,219,,1,
11380,13748,Undirected,Associé,220,,1,
11419,13016,Undirected,,221,,1,
11419,13783,Undirected,,222,,1,
11381,13785,Undirected,,223,,1,
11382,11821,Undirected,Ami-DJ,224,,1,
11382,10867,Undirected,Ancienne école,225,,1,
11382,10588,Undirected,,226,,1,
11382,11983,Undirected,,227,,1,
11382,11539,Undirected,,228,,1,
11414,10869,Undirected,,229,,1,
11493,10869,Undirected,,230,,1,
12992,10869,Undirected,,231,,1,
11510,10869,Undirected,,232,,1,
10381,10869,Undirected,,233,,1,
10473,10869,Undirected,,234,,1,
11761,10869,Undirected,,235,,1,
12816,10869,Undirected,,236,,1,
10480,10869,Undirected,,237,,1,
11842,10869,Undirected,,238,,1,
11840,10869,Undirected,,239,,1,
11578,10869,Undirected,,240,,1,
11745,10869,Undirected,,241,,1,
10395,10869,Undirected,,242,,1,
12230,10869,Undirected,,243,,1,
10476,10869,Undirected,,244,,1,
10476,10732,Undirected,,245,,1,
10476,12003,Undirected,,246,,1,
10476,11436,Undirected,,247,,1,
10476,13065,Undirected,Co-écriture ouvrage,248,,1,
10478,11661,Undirected,,249,,1,
10478,12526,Undirected,,250,,1,
10478,11109,Undirected,Ex-Collaboration,251,,1,
10479,10368,Undirected,,252,,1,
10479,13006,Undirected,,253,,1,
10480,11363,Undirected,,254,,1,
11493,11363,Undirected,,255,,1,
11477,11363,Undirected,,256,,1,
11857,11363,Undirected,,257,,1,
11745,11363,Undirected,,258,,1,
12230,11363,Undirected,,259,,1,
11761,11363,Undirected,,260,,1,
10385,11363,Undirected,,261,,1,
10473,11363,Undirected,,262,,1,
10668,11364,Undirected,,263,,1,
10816,11364,Undirected,,264,,1,
10720,11364,Undirected,,265,,1,
10933,11364,Undirected,,266,,1,
